# z mu sigma
0.075301 12.344323 0.106090
0.105422 13.670734 0.058845
0.135542 14.217013 0.038362
0.165663 14.476504 0.045300
0.195783 15.036827 0.033731
0.225904 15.379984 0.028076
0.256024 15.560770 0.038294
0.286145 15.954562 0.027132
0.316265 16.161581 0.033915
0.346386 16.406887 0.021748
0.376506 16.655894 0.023462
0.406627 16.842662 0.023546
0.436747 16.979004 0.023030
0.466867 17.161406 0.017476
0.496988 17.333073 0.017544
0.527108 17.464770 0.019693
0.557229 17.591782 0.018794
0.587349 17.778245 0.017524
0.617470 17.896043 0.018395
0.647590 18.010403 0.017230
0.677711 18.137533 0.014529
0.707831 18.270676 0.016371
0.737952 18.333064 0.016654
0.768072 18.458601 0.016008
0.798193 18.585427 0.016294
0.828313 18.686875 0.015101
0.858434 18.770628 0.013415
0.888554 18.836866 0.013923
0.918675 18.950710 0.013903
0.948795 19.030936 0.013674
0.978916 19.102431 0.013205
1.009036 19.174855 0.013207
1.039157 19.271743 0.013864
1.069277 19.356043 0.012663
1.099398 19.411353 0.011145
1.129518 19.493621 0.011228
1.159639 19.581377 0.012643
1.189759 19.640208 0.011608
1.219880 19.690258 0.011811
1.250000 19.771253 0.011273
1.280120 19.850002 0.011715
1.310241 19.903412 0.011446
1.340361 19.948767 0.010318
1.370482 20.016762 0.011339
1.400602 20.064058 0.011873
1.430723 20.117268 0.011517
1.460843 20.168855 0.010996
1.490964 20.226426 0.010853
1.521084 20.293850 0.011060
1.551205 20.333552 0.010703
1.581325 20.383895 0.010510
1.611446 20.455783 0.010494
1.641566 20.492123 0.010586
1.671687 20.549252 0.011018
1.701807 20.589864 0.011301
1.731928 20.641290 0.010654
1.762048 20.693876 0.010495
1.792169 20.716822 0.010300
1.822289 20.784496 0.010115
1.852410 20.805398 0.010471
1.882530 20.851608 0.010129
1.912651 20.894381 0.009853
1.942771 20.937476 0.009892
1.972892 20.970103 0.010487
2.003012 21.016521 0.009645
2.033133 21.043058 0.010528
2.063253 21.094494 0.010412
2.093373 21.134391 0.009905
2.123494 21.185105 0.010298
2.153614 21.198852 0.010159
2.183735 21.250175 0.010511
2.213855 21.276662 0.010260
2.243976 21.319232 0.009832
2.274096 21.369934 0.010231
2.304217 21.377493 0.009579
2.334337 21.429125 0.009557
2.364458 21.444046 0.009855
2.394578 21.483324 0.009563
2.424699 21.529705 0.009996
2.454819 21.551637 0.010040
2.484940 21.584620 0.009928
