# z mu sigma
0.061578 12.344323 0.106090
0.112112 13.432368 0.102045
0.118662 13.825710 0.101870
0.119320 13.753282 0.101854
0.126475 14.124622 0.101701
0.132368 14.061933 0.101598
0.140862 14.022509 0.101477
0.141949 14.291958 0.101464
0.144668 14.182253 0.101433
0.145704 14.479210 0.101422
0.149530 14.355297 0.101383
0.152714 14.368310 0.101354
0.159242 14.474130 0.101305
0.160396 14.480095 0.101297
0.162317 14.481028 0.101285
0.173273 14.578703 0.101232
0.180753 15.093339 0.101208
0.184976 14.855854 0.101199
0.187039 15.026478 0.101196
0.192314 14.902814 0.101190
0.198042 15.099748 0.101187
0.198126 15.116844 0.101187
0.198465 15.072704 0.101187
0.203165 15.125017 0.101188
0.210767 15.038625 0.101195
0.211748 15.289435 0.101197
0.214269 15.185965 0.101201
0.218023 15.279428 0.101208
0.218999 15.369899 0.101210
0.219555 15.372372 0.101211
0.219622 15.300528 0.101211
0.220193 15.260432 0.101212
0.226588 15.292182 0.101228
0.235918 15.474681 0.101258
0.237166 15.499549 0.101262
0.237270 15.486458 0.101262
0.238594 15.529239 0.101267
0.240854 15.600428 0.101276
0.242215 15.421497 0.101281
0.244658 15.400215 0.101291
0.245142 15.570131 0.101293
0.249376 15.547537 0.101311
0.252646 15.607775 0.101326
0.256649 15.660522 0.101345
0.259682 15.718090 0.101360
0.275474 15.916623 0.101448
0.277763 15.811693 0.101462
0.279688 16.010442 0.101474
0.280026 15.971930 0.101476
0.283271 15.918119 0.101496
0.284867 15.900464 0.101507
0.285812 16.099681 0.101513
0.287579 15.895849 0.101524
0.287970 16.018614 0.101527
0.292190 15.816782 0.101555
0.293876 15.884293 0.101567
0.294527 15.994046 0.101571
0.294528 16.104612 0.101571
0.297078 16.021010 0.101589
0.301524 16.029587 0.101621
0.306589 16.146389 0.101659
0.312656 16.161712 0.101705
0.314886 16.339379 0.101723
0.320047 16.123947 0.101764
0.322350 16.144803 0.101783
0.325520 16.185332 0.101809
0.325875 16.259490 0.101812
0.329653 16.063804 0.101844
0.331900 16.168778 0.101863
0.332822 16.353901 0.101871
0.333637 16.225757 0.101878
0.335783 16.151278 0.101896
0.337888 16.502701 0.101915
0.339798 16.311198 0.101932
0.343705 16.473174 0.101967
0.344531 16.510222 0.101974
0.346837 16.351798 0.101996
0.347606 16.417860 0.102003
0.347844 16.361825 0.102005
0.347937 16.471966 0.102006
0.348588 16.303330 0.102012
0.351141 16.473923 0.102035
0.353598 16.664813 0.102058
0.354007 16.497915 0.102062
0.356369 16.406573 0.102085
0.357134 16.438419 0.102092
0.359817 16.488277 0.102118
0.360209 16.706061 0.102122
0.360966 16.187011 0.102129
0.361313 16.487381 0.102132
0.363868 16.581260 0.102157
0.364890 16.648648 0.102167
0.365646 16.552831 0.102175
0.366111 16.562564 0.102179
0.366984 16.580736 0.102188
0.367141 16.566487 0.102190
0.368407 16.528615 0.102202
0.368981 16.587092 0.102208
0.371451 16.671422 0.102233
0.371987 16.525862 0.102238
0.375135 16.618003 0.102270
0.377421 16.735955 0.102294
0.378874 16.760760 0.102309
0.381723 16.734603 0.102338
0.383230 16.637929 0.102354
0.385091 16.860431 0.102374
0.386294 16.689465 0.102387
0.387513 16.967077 0.102399
0.389903 16.654832 0.102425
0.391701 16.673330 0.102444
0.395618 16.772695 0.102487
0.399471 16.742767 0.102529
0.399502 16.834068 0.102530
0.400326 16.987420 0.102539
0.401170 16.840208 0.102548
0.403800 16.703784 0.102578
0.405421 16.685530 0.102596
0.406110 16.892796 0.102604
0.409816 17.017976 0.102646
0.410845 16.765124 0.102657
0.412008 16.853020 0.102671
0.412783 16.862168 0.102680
0.417183 16.975352 0.102731
0.419659 17.007956 0.102760
0.419744 16.756816 0.102761
0.419773 16.800742 0.102761
0.419861 16.886697 0.102762
0.419965 16.953912 0.102763
0.423469 16.879596 0.102804
0.424921 16.955208 0.102822
0.426454 16.990449 0.102840
0.427201 16.853415 0.102849
0.429055 16.940490 0.102871
0.434692 16.917635 0.102940
0.435552 16.798787 0.102950
0.436108 17.233651 0.102957
0.438167 16.994987 0.102982
0.439628 17.004146 0.103000
0.441479 16.937819 0.103023
0.441976 16.976523 0.103029
0.446062 16.987525 0.103080
0.446198 16.948493 0.103082
0.447230 17.155219 0.103095
0.447353 16.725908 0.103097
0.447576 17.020675 0.103100
0.447987 17.147075 0.103105
0.449204 17.070319 0.103120
0.449727 17.043676 0.103127
0.454085 17.243890 0.103182
0.456826 17.092569 0.103218
0.457751 17.163195 0.103230
0.457964 16.994268 0.103232
0.458106 17.111736 0.103234
0.459424 17.017895 0.103251
0.459674 16.905381 0.103255
0.459963 17.187014 0.103258
0.460021 17.166220 0.103259
0.463295 17.070935 0.103302
0.464330 17.193874 0.103315
0.465606 17.159394 0.103332
0.465986 17.112314 0.103337
0.468600 17.057147 0.103372
0.468757 17.205831 0.103374
0.469319 17.196201 0.103381
0.469358 17.052706 0.103382
0.469677 17.151585 0.103386
0.469695 17.422531 0.103386
0.469827 17.003553 0.103388
0.472289 17.289314 0.103421
0.472305 17.293970 0.103421
0.472533 17.101637 0.103424
0.474769 17.250304 0.103454
0.476174 17.186900 0.103473
0.477301 17.109073 0.103488
0.477566 17.251001 0.103492
0.478892 17.294588 0.103510
0.480873 17.199911 0.103537
0.480882 17.054026 0.103537
0.481107 17.308374 0.103540
0.481232 17.239670 0.103542
0.481469 17.107894 0.103545
0.481477 17.346207 0.103545
0.481804 17.111159 0.103550
0.482090 17.192684 0.103554
0.482551 17.464525 0.103560
0.483670 17.262356 0.103575
0.485421 17.333831 0.103599
0.485914 17.107865 0.103606
0.486878 17.191542 0.103619
0.486948 17.259386 0.103620
0.491452 17.331746 0.103683
0.493250 17.365610 0.103708
0.493992 17.422554 0.103718
0.494587 17.275974 0.103727
0.495241 17.331213 0.103736
0.496328 17.359060 0.103751
0.497043 17.167323 0.103761
0.497150 17.304015 0.103763
0.499404 17.282820 0.103795
0.500220 17.395203 0.103806
0.500558 17.411565 0.103811
0.500665 17.316066 0.103813
0.502016 17.247204 0.103832
0.502596 17.313942 0.103840
0.503182 17.329319 0.103849
0.503885 17.367887 0.103859
0.506168 17.337217 0.103891
0.506498 17.314437 0.103896
0.507834 17.292091 0.103915
0.508256 17.278736 0.103922
0.508466 17.437526 0.103925
0.509099 17.510832 0.103934
0.509113 17.445583 0.103934
0.509739 17.276757 0.103943
0.510538 17.462669 0.103955
0.511038 17.434305 0.103962
0.511080 17.496713 0.103962
0.511499 17.340775 0.103969
0.512434 17.355466 0.103982
0.513724 17.406200 0.104001
0.513974 17.374074 0.104005
0.514009 17.314993 0.104005
0.514071 17.533411 0.104006
0.518962 17.472939 0.104078
0.519241 17.304150 0.104082
0.519453 17.505213 0.104085
0.519917 17.506236 0.104092
0.521472 17.408899 0.104115
0.521653 17.491628 0.104118
0.522266 17.536828 0.104127
0.523684 17.609987 0.104148
0.524614 17.449334 0.104162
0.528346 17.334293 0.104218
0.528427 17.542253 0.104219
0.533605 17.507920 0.104297
0.533940 17.486802 0.104302
0.534229 17.288010 0.104307
0.534303 17.461120 0.104308
0.536182 17.573248 0.104336
0.536960 17.380946 0.104348
0.538112 17.540882 0.104366
0.538480 17.405049 0.104371
0.539402 17.669587 0.104386
0.541061 17.724748 0.104411
0.541183 17.410909 0.104413
0.541189 17.420971 0.104413
0.542405 17.616242 0.104432
0.542610 17.788657 0.104435
0.543893 17.403175 0.104455
0.544020 17.529353 0.104457
0.544896 17.424279 0.104470
0.544906 17.361858 0.104470
0.545519 17.574996 0.104480
0.546381 17.594254 0.104493
0.549187 17.588670 0.104537
0.550534 17.422583 0.104558
0.552842 17.564058 0.104594
0.553023 17.622777 0.104597
0.554286 17.706255 0.104617
0.554823 17.638389 0.104626
0.556049 17.605601 0.104645
0.556437 17.756077 0.104651
0.556538 17.455129 0.104653
